NUM_IFU,ID_CONTR,NOM_MINEFID,DATE_IMMAT,ETAT,CODE_REG_FISC,CODE_SECT_ACT,TEL,Tel_Clean,ANNEE,IMPORT_CAF,IMPORT_FOB,IMPORT_TVA,EXPORT_CAF,EXPORT_FOB,EXPORT_TVA,EXPORT_Nombre_TITRE,IMPORT_Nombre_TITRE,Num_IFU_Contribuable.x,INDICATEUR_1,INDICATEUR_2,INDICATEUR_3,TELEPHONE,Groupe_IFU,Occurrences_IFU
00000001E,,,,,,,,,2019,,,,,,,,,00000001E,885.788264731019,525.1479875343722,A,,,
00000001E,1.0,Entreprise 1,2020-01-01,ACTIF,CME,C03,22913901250,22913901250,2023,9233.74425205714,8052.4960767295,1817.7165513865268,0.0,0.0,0.0,0.0,1.0,,,,,,,
00000002E,,,,,,,,,2019,,,,,,,,,00000002E,1437.961676189795,358.9824962592448,B,,,
00000002E,2.0,Entreprise 2,2020-01-02,ACTIF,RSI,C03,22937417566,22937417566,2023,0.0,0.0,0.0,11070.79552787077,8509.555474775118,1733.2323680539896,1.0,0.0,,,,,,,
00000003E,,,,,,,,,2021,,,,,,,,,00000003E,381.256171831734,563.9764471139628,B,,,
00000003E,3.0,Entreprise 3,2020-01-03,ACTIF,RSI,A01,22995470366,22995470366,2023,9411.630592299269,7649.176587934611,1607.7919427872137,0.0,0.0,0.0,0.0,1.0,,,,,,,
00000004E,,,,,,,,,2022,,,,,,,,,00000004E,591.5440632596183,342.4155347410789,C,,,
00000004E,4.0,Entreprise 4,2020-01-04,ACTIF,RSI,B02,22990518262,22990518262,2023,0.0,0.0,0.0,10857.74470470521,9075.978417130607,1729.7729606870882,1.0,0.0,,,,,,,
00000005E,,,,,,,,,2019,,,,,,,,,00000005E,462.3556249543349,385.6903862185269,B,,,
00000005E,5.0,Entreprise 5,2020-01-05,ACTIF,RSI,B02,22925352321,22925352321,2023,9610.696852637566,7956.728472037387,1954.7696186332707,0.0,0.0,0.0,0.0,1.0,,,,,,,
00000006E,,,,,,,,,2020,,,,,,,,,00000006E,1406.831199625772,398.0709770165845,C,,,
00000006E,6.0,Entreprise 6,2020-01-06,ACTIF,RN,C03,22998031690,22998031690,2023,0.0,0.0,0.0,9935.424897324488,9066.819241519255,1923.5332443862349,1.0,0.0,,,,,,,
00000007E,,,,,,,,,2021,,,,,,,,,00000007E,1071.964789368946,440.4137320456971,A,,,
00000007E,7.0,Entreprise 7,2020-01-07,ACTIF,CME,A01,22957218699,22957218699,2023,9576.018136771481,7169.804203354559,2040.3026338827674,0.0,0.0,0.0,0.0,1.0,,,,,,,
00000008E,,,,,,,,,2022,,,,,,,,,00000008E,1080.275238646134,456.325729305477,B,,,
00000008E,8.0,Entreprise 8,2020-01-08,ACTIF,RSI,A01,22924178977,22924178977,2023,0.0,0.0,0.0,9764.201603038982,7905.460765405421,1879.5470524838713,1.0,0.0,,,,,,,
00000009E,,,,,,,,,2020,,,,,,,,,00000009E,659.3581033460011,357.2419184087569,A,,,
00000009E,9.0,Entreprise 9,2020-01-09,ACTIF,RN,A01,22921059420,22921059420,2023,8125.116735134103,6596.060283414637,1640.1132248210215,0.0,0.0,0.0,0.0,1.0,,,,,,,
00000010E,,,,,,,,,2021,,,,,,,,,00000010E,1112.050467155599,325.4345708158645,A,,,
00000010E,10.0,Entreprise 10,2020-01-10,ACTIF,CME,C03,22998990217,22998990217,2023,0.0,0.0,0.0,9802.422218260308,7920.714148620373,1817.6575658920503,1.0,0.0,,,,,,,
00000011E,,,,,,,,,2022,,,,,,,,,00000011E,775.5253390091215,559.5027451975337,A,,,
00000012E,,,,,,,,,2022,,,,,,,,,00000012E,687.3585775413569,466.0909865232239,A,,,
00000013E,,,,,,,,,2022,,,,,,,,,00000013E,821.2665690236298,242.5863355969119,A,,,
00000014E,,,,,,,,,2020,,,,,,,,,00000014E,1190.908810757386,271.9176760827111,A,,,
00000015E,,,,,,,,,2019,,,,,,,,,00000015E,724.5624655216932,507.038146145575,A,,,
00000016E,,,,,,,,,2023,,,,,,,,,00000016E,681.3522107831468,389.1506276601695,B,,,
00000017E,,,,,,,,,2020,,,,,,,,,00000017E,1109.8366361387,562.92104376669,A,,,
00000018E,,,,,,,,,2021,,,,,,,,,00000018E,1415.174146166841,532.7540439816828,C,,,
00000019E,,,,,,,,,2021,,,,,,,,,00000019E,1203.704818390551,497.8218867556361,A,,,
00000020E,,,,,,,,,2023,,,,,,,,,00000020E,822.8801658317315,395.1935372333925,B,,,
00000021E,,,,,,,,,2020,,,,,,,,,00000021E,903.3966971813219,357.0648006766106,B,,,
00000022E,,,,,,,,,2021,,,,,,,,,00000022E,872.03311726414,317.8839808986185,C,,,
00000023E,,,,,,,,,2022,,,,,,,,,00000023E,860.9452760268406,399.2459403614343,B,,,
00000024E,,,,,,,,,2023,,,,,,,,,00000024E,1230.274429389728,468.968597558231,A,,,
00000025E,,,,,,,,,2022,,,,,,,,,00000025E,984.8885303394625,738.9973362378896,B,,,
00000026E,,,,,,,,,2023,,,,,,,,,00000026E,261.2489614869598,633.818243026813,A,,,
00000027E,,,,,,,,,2022,,,,,,,,,00000027E,990.30976716802,448.5060714988709,B,,,
00000028E,,,,,,,,,2021,,,,,,,,,00000028E,1043.71344452261,348.0971388612662,B,,,
00000029E,,,,,,,,,2023,,,,,,,,,00000029E,820.5348137966527,543.1117723619396,B,,,
00000030E,,,,,,,,,2019,,,,,,,,,00000030E,1202.597543197608,472.2712581603275,B,,,
00000031E,,,,,,,,,2019,,,,,,,,,00000031E,848.9578658089799,450.4628402005041,C,,,
00000032E,,,,,,,,,2020,,,,,,,,,00000032E,1272.131606788444,699.5477920504925,A,,,
00000033E,,,,,,,,,2019,,,,,,,,,00000033E,1015.547487151139,399.8022196353787,C,,,
00000034E,,,,,,,,,2019,,,,,,,,,00000034E,849.513059087406,242.0394241069024,A,,,
00000035E,,,,,,,,,2021,,,,,,,,,00000035E,965.7309135867304,446.3865258563513,B,,,
00000036E,,,,,,,,,2022,,,,,,,,,00000036E,1182.414236081391,664.5638721296541,A,,,
00000037E,,,,,,,,,2019,,,,,,,,,00000037E,1078.348263650633,584.2647744439445,B,,,
00000038E,,,,,,,,,2019,,,,,,,,,00000038E,1315.320806593631,740.4261735660917,A,,,
00000039E,,,,,,,,,2021,,,,,,,,,00000039E,716.3773395619108,538.2644021001959,B,,,
00000040E,,,,,,,,,2020,,,,,,,,,00000040E,1313.816979172277,553.8127329407366,C,,,
00000041E,,,,,,,,,2021,,,,,,,,,00000041E,616.8556485951485,452.4847831605077,A,,,
00000042E,,,,,,,,,2022,,,,,,,,,00000042E,495.3202117483081,586.1006446858498,A,,,
00000043E,,,,,,,,,2021,,,,,,,,,00000043E,1030.936430459973,507.366189781243,C,,,
00000044E,,,,,,,,,2020,,,,,,,,,00000044E,1089.729004476208,590.3121250000743,C,,,
00000045E,,,,,,,,,2019,,,,,,,,,00000045E,546.8161020452728,563.8874498736994,A,,,
00000046E,,,,,,,,,2021,,,,,,,,,00000046E,867.4748864729904,450.123905911818,A,,,
00000047E,,,,,,,,,2020,,,,,,,,,00000047E,870.3655518109318,498.7415476866602,A,,,
00000048E,,,,,,,,,2023,,,,,,,,,00000048E,993.3431037111868,613.3360849883818,C,,,
00000049E,,,,,,,,,2020,,,,,,,,,00000049E,918.3710878691968,447.8795319276078,A,,,
00000050E,,,,,,,,,2022,,,,,,,,,00000050E,1333.477681466883,400.9323842390501,C,,,
00000051E,,,,,,,,,2022,,,,,,,,,00000051E,1068.819902376168,444.0936131339951,C,,,
00000052E,,,,,,,,,2023,,,,,,,,,00000052E,1236.935835796478,366.9058817063876,C,,,
00000053E,,,,,,,,,2019,,,,,,,,,00000053E,744.9730446055324,584.7536926603605,B,,,
00000054E,,,,,,,,,2022,,,,,,,,,00000054E,846.5449326084556,613.135607677954,B,,,
00000055E,,,,,,,,,2020,,,,,,,,,00000055E,1098.175144237881,385.3624127485169,C,,,
00000056E,,,,,,,,,2023,,,,,,,,,00000056E,1329.241230144052,690.0770738270587,A,,,
00000057E,,,,,,,,,2020,,,,,,,,,00000057E,949.2356869133469,481.6670560819277,C,,,
00000058E,,,,,,,,,2019,,,,,,,,,00000058E,958.1184857048792,273.1980753343267,C,,,
00000059E,,,,,,,,,2021,,,,,,,,,00000059E,484.0639827055736,477.1176248618079,B,,,
00000060E,,,,,,,,,2020,,,,,,,,,00000060E,1032.774035707953,510.5331005648421,C,,,
00000061E,,,,,,,,,2022,,,,,,,,,00000061E,1054.869815592895,545.9808020167849,A,,,
00000062E,,,,,,,,,2022,,,,,,,,,00000062E,1034.116369831219,565.4681579429608,B,,,
00000063E,,,,,,,,,2021,,,,,,,,,00000063E,1750.198313523776,533.877646393351,C,,,
00000064E,,,,,,,,,2021,,,,,,,,,00000064E,721.5808714994988,340.2991765907346,A,,,
00000065E,,,,,,,,,2022,,,,,,,,,00000065E,1206.613940587524,488.1387084047654,B,,,
00000066E,,,,,,,,,2022,,,,,,,,,00000066E,785.5287396487503,419.5524405325633,B,,,
00000067E,,,,,,,,,2019,,,,,,,,,00000067E,1109.974399530734,690.2350930727874,B,,,
00000068E,,,,,,,,,2023,,,,,,,,,00000068E,1126.553715183104,182.0947010363116,C,,,
00000069E,,,,,,,,,2023,,,,,,,,,00000069E,1348.099683712673,259.7321618928358,A,,,
00000070E,,,,,,,,,2019,,,,,,,,,00000070E,746.5894473556243,544.5563285841059,A,,,
00000071E,,,,,,,,,2021,,,,,,,,,00000071E,1440.036919011373,307.5421126716208,A,,,
00000072E,,,,,,,,,2019,,,,,,,,,00000072E,952.6943554444764,515.3643170476464,B,,,
00000073E,,,,,,,,,2020,,,,,,,,,00000073E,966.7182821268207,588.1376607153418,A,,,
00000074E,,,,,,,,,2019,,,,,,,,,00000074E,708.1710641737182,588.7525040224602,A,,,
00000075E,,,,,,,,,2021,,,,,,,,,00000075E,1410.073162919934,569.4197625917843,B,,,
00000076E,,,,,,,,,2020,,,,,,,,,00000076E,1106.884836573279,468.6302150347786,B,,,
00000077E,,,,,,,,,2020,,,,,,,,,00000077E,1341.051749522415,395.1319239244992,B,,,
00000078E,,,,,,,,,2022,,,,,,,,,00000078E,1057.624130664268,314.630491531547,C,,,
00000079E,,,,,,,,,2020,,,,,,,,,00000079E,1524.464521631358,448.1927141767479,A,,,
00000080E,,,,,,,,,2023,,,,,,,,,00000080E,1542.913650054156,679.245187033335,B,,,
00000081E,,,,,,,,,2021,,,,,,,,,00000081E,543.0286130159064,631.6069371757075,A,,,
00000082E,,,,,,,,,2019,,,,,,,,,00000082E,1059.259705184672,582.2184969818163,B,,,
00000083E,,,,,,,,,2023,,,,,,,,,00000083E,901.6285257199188,187.7120326887606,C,,,
00000084E,,,,,,,,,2021,,,,,,,,,00000084E,1052.26869501383,386.486726813298,A,,,
00000085E,,,,,,,,,2022,,,,,,,,,00000085E,722.7802251090291,451.8853723924501,B,,,
00000086E,,,,,,,,,2019,,,,,,,,,00000086E,807.9031237339337,337.702412955348,B,,,
00000087E,,,,,,,,,2021,,,,,,,,,00000087E,1371.24387775994,631.3467946993138,A,,,
00000088E,,,,,,,,,2020,,,,,,,,,00000088E,1331.83820095138,623.7036360331165,A,,,
00000089E,,,,,,,,,2023,,,,,,,,,00000089E,1020.098102332302,523.3357935667648,C,,,
00000090E,,,,,,,,,2021,,,,,,,,,00000090E,1177.274999142782,379.0357301628279,B,,,
00000091E,,,,,,,,,2023,,,,,,,,,00000091E,1183.494920614561,377.0413301859707,B,,,
00000092E,,,,,,,,,2021,,,,,,,,,00000092E,869.9643332973092,330.8008236600336,B,,,
00000093E,,,,,,,,,2021,,,,,,,,,00000093E,901.4955878903322,602.5445944154037,A,,,
00000094E,,,,,,,,,2020,,,,,,,,,00000094E,999.0571751124882,756.9049767898714,C,,,
00000095E,,,,,,,,,2019,,,,,,,,,00000095E,1165.061067732463,467.1686337237567,A,,,
00000096E,,,,,,,,,2023,,,,,,,,,00000096E,879.186401325177,436.4739394024307,B,,,
00000097E,,,,,,,,,2021,,,,,,,,,00000097E,1189.603640360127,534.5054088041591,A,,,
00000098E,,,,,,,,,2021,,,,,,,,,00000098E,824.8227595772123,255.3642891329576,C,,,
00000099E,,,,,,,,,2021,,,,,,,,,00000099E,779.3121112620352,403.203107050027,C,,,
00000100E,,,,,,,,,2022,,,,,,,,,00000100E,914.7180376713653,319.0169281099144,C,,,
